execution_id,period,department,account_code,account_name,budget_amount,actual_amount,variance_amount,variance_rate,owner,status
BE000090,2024-05,제약,6800,기타판관비,640060000,598650000,-41410000,-0.0647,박과장,정상
BE000091,2024-06,OLED,5000,매출원가,734313000,605370000,-128943000,-0.1756,김대리,미달
BE000092,2024-06,OLED,6100,급여,677210000,687510000,10300000,0.0152,김대리,정상
BE000093,2024-06,OLED,6200,복리후생비,627302000,614320000,-12982000,-0.0207,정사원,정상
BE000094,2024-06,OLED,6300,광고선전비,675998000,590950000,-85048000,-0.1258,김대리,미달
BE000095,2024-06,OLED,6400,운반비,724584000,626280000,-98304000,-0.1357,김대리,미달
BE000096,2024-06,OLED,6500,감가상각비,732018000,656880000,-75138000,-0.1026,이대리,미달
BE000097,2024-06,OLED,6600,지급수수료,603406000,649790000,46384000,0.0769,최대리,정상
BE000098,2024-06,OLED,6700,연구개발비,730042000,776510000,46468000,0.0637,김대리,정상
BE000099,2024-06,OLED,6800,기타판관비,607632000,726870000,119238000,0.1962,이대리,초과
BE000100,2024-06,제약,5000,매출원가,723787000,871560000,147773000,0.2042,이대리,초과
BE000101,2024-06,제약,6100,급여,731296000,587720000,-143576000,-0.1963,최대리,미달
BE000102,2024-06,제약,6200,복리후생비,609444000,701120000,91676000,0.1504,박과장,초과
BE000103,2024-06,제약,6300,광고선전비,778942000,599490000,-179452000,-0.2304,김대리,미달
BE000104,2024-06,제약,6400,운반비,681197000,746200000,65003000,0.0954,박과장,정상
BE000105,2024-06,제약,6500,감가상각비,697218000,612010000,-85208000,-0.1222,정사원,미달
BE000106,2024-06,제약,6600,지급수수료,576437000,751560000,175123000,0.3038,김대리,초과
BE000107,2024-06,제약,6700,연구개발비,706564000,584270000,-122294000,-0.1731,김대리,미달
BE000108,2024-06,제약,6800,기타판관비,635381000,689450000,54069000,0.0851,박과장,정상
BE000109,2024-07,OLED,5000,매출원가,770871000,734150000,-36721000,-0.0476,김대리,정상
BE000110,2024-07,OLED,6100,급여,711379000,536210000,-175169000,-0.2462,김대리,미달
BE000111,2024-07,OLED,6200,복리후생비,583512000,742370000,158858000,0.2722,정사원,초과
BE000112,2024-07,OLED,6300,광고선전비,675998000,617190000,-58808000,-0.087,김대리,정상
BE000113,2024-07,OLED,6400,운반비,678228000,628810000,-49418000,-0.0729,김대리,정상
BE000114,2024-07,OLED,6500,감가상각비,680568000,846470000,165902000,0.2438,이대리,초과
BE000115,2024-07,OLED,6600,지급수수료,583949000,668020000,84071000,0.144,최대리,초과
BE000116,2024-07,OLED,6700,연구개발비,720611000,725450000,4839000,0.0067,김대리,정상
BE000117,2024-07,OLED,6800,기타판관비,626527000,840610000,214083000,0.3417,이대리,초과
BE000118,2024-07,제약,5000,매출원가,736856000,672900000,-63956000,-0.0868,이대리,정상
BE000119,2024-07,제약,6100,급여,700456000,670860000,-29596000,-0.0423,최대리,정상
BE000120,2024-07,제약,6200,복리후생비,574757000,573760000,-997000,-0.0017,박과장,정상
BE000121,2024-07,제약,6300,광고선전비,778942000,659610000,-119332000,-0.1532,김대리,미달
BE000122,2024-07,제약,6400,운반비,693694000,765650000,71956000,0.1037,박과장,초과
BE000123,2024-07,제약,6500,감가상각비,682576000,684270000,1694000,0.0025,정사원,정상
BE000124,2024-07,제약,6600,지급수수료,584279000,625910000,41631000,0.0713,김대리,정상
BE000125,2024-07,제약,6700,연구개발비,693289000,825900000,132611000,0.1913,김대리,초과
BE000126,2024-07,제약,6800,기타판관비,640547000,649950000,9403000,0.0147,박과장,정상
BE000127,2024-08,OLED,5000,매출원가,746047000,743640000,-2407000,-0.0032,김대리,정상
BE000128,2024-08,OLED,6100,급여,727149000,892060000,164911000,0.2268,김대리,초과
BE000129,2024-08,OLED,6200,복리후생비,579932000,673770000,93838000,0.1618,정사원,초과
BE000130,2024-08,OLED,6300,광고선전비,675998000,711980000,35982000,0.0532,김대리,정상
BE000131,2024-08,OLED,6400,운반비,676670000,540870000,-135800000,-0.2007,김대리,미달
BE000132,2024-08,OLED,6500,감가상각비,675553000,797730000,122177000,0.1809,이대리,초과
BE000133,2024-08,OLED,6600,지급수수료,617763000,698980000,81217000,0.1315,최대리,초과
BE000134,2024-08,OLED,6700,연구개발비,721556000,647270000,-74286000,-0.103,김대리,미달
BE000135,2024-08,OLED,6800,기타판관비,575892000,693400000,117508000,0.204,이대리,초과
BE000136,2024-08,제약,5000,매출원가,712731000,757290000,44559000,0.0625,이대리,정상
BE000137,2024-08,제약,6100,급여,678233000,613030000,-65203000,-0.0961,최대리,정상
BE000138,2024-08,제약,6200,복리후생비,574425000,606720000,32295000,0.0562,박과장,정상
BE000139,2024-08,제약,6300,광고선전비,778942000,633110000,-145832000,-0.1872,김대리,미달
BE000140,2024-08,제약,6400,운반비,734124000,652300000,-81824000,-0.1115,박과장,미달
BE000141,2024-08,제약,6500,감가상각비,688895000,788020000,99125000,0.1439,정사원,초과
BE000142,2024-08,제약,6600,지급수수료,596688000,613880000,17192000,0.0288,김대리,정상
BE000143,2024-08,제약,6700,연구개발비,674206000,764780000,90574000,0.1343,김대리,초과
BE000144,2024-08,제약,6800,기타판관비,628996000,757680000,128684000,0.2046,박과장,초과
BE000145,2024-09,OLED,5000,매출원가,737986000,842450000,104464000,0.1416,김대리,초과
BE000146,2024-09,OLED,6100,급여,737496000,585160000,-152336000,-0.2066,김대리,미달
BE000147,2024-09,OLED,6200,복리후생비,567961000,616760000,48799000,0.0859,정사원,정상
BE000148,2024-09,OLED,6300,광고선전비,675998000,551710000,-124288000,-0.1839,김대리,미달
BE000149,2024-09,OLED,6400,운반비,665184000,663030000,-2154000,-0.0032,김대리,정상
BE000150,2024-09,OLED,6500,감가상각비,718097000,650460000,-67637000,-0.0942,이대리,정상
BE000151,2024-09,OLED,6600,지급수수료,586755000,839830000,253075000,0.4313,최대리,초과
BE000152,2024-09,OLED,6700,연구개발비,736810000,685430000,-51380000,-0.0697,김대리,정상
BE000153,2024-09,OLED,6800,기타판관비,594973000,699350000,104377000,0.1754,이대리,초과
BE000154,2024-09,제약,5000,매출원가,749770000,833970000,84200000,0.1123,이대리,초과
BE000155,2024-09,제약,6100,급여,721373000,751410000,30037000,0.0416,최대리,정상
BE000156,2024-09,제약,6200,복리후생비,560412000,726920000,166508000,0.2971,박과장,초과
BE000157,2024-09,제약,6300,광고선전비,778942000,587270000,-191672000,-0.2461,김대리,미달
BE000158,2024-09,제약,6400,운반비,711249000,740680000,29431000,0.0414,박과장,정상
BE000159,2024-09,제약,6500,감가상각비,676135000,628900000,-47235000,-0.0699,정사원,정상
BE000160,2024-09,제약,6600,지급수수료,598613000,598690000,77000,0.0001,김대리,정상
BE000161,2024-09,제약,6700,연구개발비,739301000,846670000,107369000,0.1452,김대리,초과
BE000162,2024-09,제약,6800,기타판관비,602862000,784100000,181238000,0.3006,박과장,초과
BE000163,2024-10,OLED,5000,매출원가,768289000,730210000,-38079000,-0.0496,김대리,정상
BE000164,2024-10,OLED,6100,급여,732789000,669170000,-63619000,-0.0868,김대리,정상
BE000165,2024-10,OLED,6200,복리후생비,594031000,610280000,16249000,0.0274,정사원,정상
BE000166,2024-10,OLED,6300,광고선전비,675998000,743050000,67052000,0.0992,김대리,정상
BE000167,2024-10,OLED,6400,운반비,663916000,816860000,152944000,0.2304,김대리,초과
BE000168,2024-10,OLED,6500,감가상각비,727881000,647000000,-80881000,-0.1111,이대리,미달
BE000169,2024-10,OLED,6600,지급수수료,600955000,668190000,67235000,0.1119,최대리,초과
BE000170,2024-10,OLED,6700,연구개발비,724856000,764170000,39314000,0.0542,김대리,정상
BE000171,2024-10,OLED,6800,기타판관비,568633000,650230000,81597000,0.1435,이대리,초과
BE000172,2024-10,제약,5000,매출원가,740420000,710110000,-30310000,-0.0409,이대리,정상
BE000173,2024-10,제약,6100,급여,667317000,644350000,-22967000,-0.0344,최대리,정상
BE000174,2024-10,제약,6200,복리후생비,605064000,636180000,31116000,0.0514,박과장,정상
BE000175,2024-10,제약,6300,광고선전비,778942000,898320000,119378000,0.1533,김대리,초과
BE000176,2024-10,제약,6400,운반비,701872000,639020000,-62852000,-0.0895,박과장,정상
BE000177,2024-10,제약,6500,감가상각비,674779000,687560000,12781000,0.0189,정사원,정상
BE000178,2024-10,제약,6600,지급수수료,563667000,769090000,205423000,0.3644,김대리,초과
BE000179,2024-10,제약,6700,연구개발비,736447000,748500000,12053000,0.0164,김대리,정상
BE000180,2024-10,제약,6800,기타판관비,635345000,848410000,213065000,0.3354,박과장,초과
BE000181,2024-11,OLED,5000,매출원가,734876000,748160000,13284000,0.0181,김대리,정상
BE000182,2024-11,OLED,6100,급여,710267000,742820000,32553000,0.0458,김대리,정상
BE000183,2024-11,OLED,6200,복리후생비,597164000,647610000,50446000,0.0845,정사원,정상
BE000184,2024-11,OLED,6300,광고선전비,675998000,704000000,28002000,0.0414,김대리,정상
BE000185,2024-11,OLED,6400,운반비,675506000,671820000,-3686000,-0.0055,김대리,정상
BE000186,2024-11,OLED,6500,감가상각비,734874000,652910000,-81964000,-0.1115,이대리,미달
BE000187,2024-11,OLED,6600,지급수수료,570833000,695910000,125077000,0.2191,최대리,초과
BE000188,2024-11,OLED,6700,연구개발비,692238000,712670000,20432000,0.0295,김대리,정상
BE000189,2024-11,OLED,6800,기타판관비,605390000,714380000,108990000,0.18,이대리,초과
BE000190,2024-11,제약,5000,매출원가,706136000,775530000,69394000,0.0983,이대리,정상
BE000191,2024-11,제약,6100,급여,710425000,684900000,-25525000,-0.0359,최대리,정상
BE000192,2024-11,제약,6200,복리후생비,581748000,656000000,74252000,0.1276,박과장,초과
BE000193,2024-11,제약,6300,광고선전비,778942000,680450000,-98492000,-0.1264,김대리,미달
BE000194,2024-11,제약,6400,운반비,739289000,742500000,3211000,0.0043,박과장,정상
BE000195,2024-11,제약,6500,감가상각비,716206000,627830000,-88376000,-0.1234,정사원,미달
BE000196,2024-11,제약,6600,지급수수료,588097000,708280000,120183000,0.2044,김대리,초과
BE000197,2024-11,제약,6700,연구개발비,685033000,859130000,174097000,0.2541,김대리,초과
BE000198,2024-11,제약,6800,기타판관비,615693000,629430000,13737000,0.0223,박과장,정상
BE000199,2024-12,OLED,5000,매출원가,765555000,730260000,-35295000,-0.0461,김대리,정상
BE000200,2024-12,OLED,6100,급여,686767000,752920000,66153000,0.0963,김대리,정상
BE000201,2024-12,OLED,6200,복리후생비,623360000,664590000,41230000,0.0661,정사원,정상
BE000202,2024-12,OLED,6300,광고선전비,675998000,852510000,176512000,0.2611,김대리,초과
BE000203,2024-12,OLED,6400,운반비,699853000,651900000,-47953000,-0.0685,김대리,정상
BE000204,2024-12,OLED,6500,감가상각비,730274000,875120000,144846000,0.1983,이대리,초과
BE000205,2024-12,OLED,6600,지급수수료,605289000,807680000,202391000,0.3344,최대리,초과
BE000206,2024-12,OLED,6700,연구개발비,735500000,700800000,-34700000,-0.0472,김대리,정상
BE000207,2024-12,OLED,6800,기타판관비,586316000,705120000,118804000,0.2026,이대리,초과
BE000208,2024-12,제약,5000,매출원가,747454000,644080000,-103374000,-0.1383,이대리,미달
BE000209,2024-12,제약,6100,급여,725628000,768040000,42412000,0.0584,최대리,정상
BE000210,2024-12,제약,6200,복리후생비,567138000,652410000,85272000,0.1504,박과장,초과
BE000211,2024-12,제약,6300,광고선전비,778942000,679080000,-99862000,-0.1282,김대리,미달
BE000212,2024-12,제약,6400,운반비,707963000,633750000,-74213000,-0.1048,박과장,미달
BE000213,2024-12,제약,6500,감가상각비,730245000,618910000,-111335000,-0.1525,정사원,미달
BE000214,2024-12,제약,6600,지급수수료,568246000,757310000,189064000,0.3327,김대리,초과
BE000215,2024-12,제약,6700,연구개발비,718355000,747110000,28755000,0.04,김대리,정상
BE000216,2024-12,제약,6800,기타판관비,590575000,721130000,130555000,0.2211,박과장,초과
BE000217,2025-01,OLED,5000,매출원가,766627000,674130000,-92497000,-0.1207,김대리,미달
BE000218,2025-01,OLED,6100,급여,692870000,614830000,-78040000,-0.1126,김대리,미달
BE000219,2025-01,OLED,6200,복리후생비,605452000,658510000,53058000,0.0876,정사원,정상
BE000220,2025-01,OLED,6300,광고선전비,675998000,695250000,19252000,0.0285,김대리,정상
BE000221,2025-01,OLED,6400,운반비,723861000,658840000,-65021000,-0.0898,김대리,정상
BE000222,2025-01,OLED,6500,감가상각비,705246000,745900000,40654000,0.0576,이대리,정상
BE000223,2025-01,OLED,6600,지급수수료,591009000,656760000,65751000,0.1113,최대리,초과
BE000224,2025-01,OLED,6700,연구개발비,725041000,764800000,39759000,0.0548,김대리,정상
BE000225,2025-01,OLED,6800,기타판관비,592414000,658220000,65806000,0.1111,이대리,초과
BE000226,2025-01,제약,5000,매출원가,746801000,652350000,-94451000,-0.1265,이대리,미달
BE000227,2025-01,제약,6100,급여,685591000,691290000,5699000,0.0083,최대리,정상
BE000228,2025-01,제약,6200,복리후생비,563545000,638200000,74655000,0.1325,박과장,초과
BE000229,2025-01,제약,6300,광고선전비,778942000,751870000,-27072000,-0.0348,김대리,정상
BE000230,2025-01,제약,6400,운반비,709729000,680910000,-28819000,-0.0406,박과장,정상
BE000231,2025-01,제약,6500,감가상각비,706764000,716690000,9926000,0.014,정사원,정상
BE000232,2025-01,제약,6600,지급수수료,611606000,787560000,175954000,0.2877,김대리,초과
BE000233,2025-01,제약,6700,연구개발비,715942000,699560000,-16382000,-0.0229,김대리,정상
BE000234,2025-01,제약,6800,기타판관비,624646000,706220000,81574000,0.1306,박과장,초과
BE000235,2025-02,OLED,5000,매출원가,749236000,688000000,-61236000,-0.0817,김대리,정상
BE000236,2025-02,OLED,6100,급여,735789000,731170000,-4619000,-0.0063,김대리,정상
BE000237,2025-02,OLED,6200,복리후생비,589118000,791510000,202392000,0.3436,정사원,초과
BE000238,2025-02,OLED,6300,광고선전비,675998000,616960000,-59038000,-0.0873,김대리,정상
BE000239,2025-02,OLED,6400,운반비,695285000,583100000,-112185000,-0.1614,김대리,미달
BE000240,2025-02,OLED,6500,감가상각비,724105000,639980000,-84125000,-0.1162,이대리,미달
BE000241,2025-02,OLED,6600,지급수수료,572635000,685160000,112525000,0.1965,최대리,초과
BE000242,2025-02,OLED,6700,연구개발비,696886000,679410000,-17476000,-0.0251,김대리,정상
BE000243,2025-02,OLED,6800,기타판관비,586319000,597920000,11601000,0.0198,이대리,정상
BE000244,2025-02,제약,5000,매출원가,682538000,745090000,62552000,0.0916,이대리,정상
BE000245,2025-02,제약,6100,급여,667198000,796520000,129322000,0.1938,최대리,초과
BE000246,2025-02,제약,6200,복리후생비,548581000,791400000,242819000,0.4426,박과장,초과
BE000247,2025-02,제약,6300,광고선전비,778942000,648500000,-130442000,-0.1675,김대리,미달
BE000248,2025-02,제약,6400,운반비,702396000,716610000,14214000,0.0202,박과장,정상
BE000249,2025-02,제약,6500,감가상각비,680477000,737300000,56823000,0.0835,정사원,정상
BE000250,2025-02,제약,6600,지급수수료,599950000,666350000,66400000,0.1107,김대리,초과
BE000251,2025-02,제약,6700,연구개발비,723680000,794950000,71270000,0.0985,김대리,정상
BE000252,2025-02,제약,6800,기타판관비,614696000,588010000,-26686000,-0.0434,박과장,정상
BE000253,2025-03,OLED,5000,매출원가,738377000,708500000,-29877000,-0.0405,김대리,정상
BE000254,2025-03,OLED,6100,급여,724514000,550840000,-173674000,-0.2397,김대리,미달
BE000255,2025-03,OLED,6200,복리후생비,595559000,751500000,155941000,0.2618,정사원,초과
BE000256,2025-03,OLED,6300,광고선전비,675998000,753690000,77692000,0.1149,김대리,초과
BE000257,2025-03,OLED,6400,운반비,668476000,729960000,61484000,0.092,김대리,정상
BE000258,2025-03,OLED,6500,감가상각비,670611000,729690000,59079000,0.0881,이대리,정상
BE000259,2025-03,OLED,6600,지급수수료,570564000,629910000,59346000,0.104,최대리,초과
BE000260,2025-03,OLED,6700,연구개발비,684160000,829470000,145310000,0.2124,김대리,초과
BE000261,2025-03,OLED,6800,기타판관비,583232000,733300000,150068000,0.2573,이대리,초과
BE000262,2025-03,제약,5000,매출원가,734904000,752270000,17366000,0.0236,이대리,정상
BE000263,2025-03,제약,6100,급여,704202000,616180000,-88022000,-0.125,최대리,미달
BE000264,2025-03,제약,6200,복리후생비,578789000,551750000,-27039000,-0.0467,박과장,정상
BE000265,2025-03,제약,6300,광고선전비,778942000,674470000,-104472000,-0.1341,김대리,미달
BE000266,2025-03,제약,6400,운반비,703947000,665520000,-38427000,-0.0546,박과장,정상
BE000267,2025-03,제약,6500,감가상각비,691808000,525830000,-165978000,-0.2399,정사원,미달
BE000268,2025-03,제약,6600,지급수수료,580956000,762380000,181424000,0.3123,김대리,초과
BE000269,2025-03,제약,6700,연구개발비,675274000,819820000,144546000,0.2141,김대리,초과
BE000270,2025-03,제약,6800,기타판관비,604671000,636070000,31399000,0.0519,박과장,정상
BE000271,2025-04,OLED,5000,매출원가,736231000,806510000,70279000,0.0955,김대리,정상
BE000272,2025-04,OLED,6100,급여,694110000,685820000,-8290000,-0.0119,김대리,정상
BE000273,2025-04,OLED,6200,복리후생비,572281000,805120000,232839000,0.4069,정사원,초과
BE000274,2025-04,OLED,6300,광고선전비,675998000,668580000,-7418000,-0.011,김대리,정상
BE000275,2025-04,OLED,6400,운반비,723165000,562130000,-161035000,-0.2227,김대리,미달
BE000276,2025-04,OLED,6500,감가상각비,669763000,728550000,58787000,0.0878,이대리,정상
BE000277,2025-04,OLED,6600,지급수수료,567609000,681730000,114121000,0.2011,최대리,초과
BE000278,2025-04,OLED,6700,연구개발비,718829000,713360000,-5469000,-0.0076,김대리,정상
BE000279,2025-04,OLED,6800,기타판관비,616684000,745600000,128916000,0.209,이대리,초과
BE000280,2025-04,제약,5000,매출원가,710337000,722300000,11963000,0.0168,이대리,정상
BE000281,2025-04,제약,6100,급여,679237000,517020000,-162217000,-0.2388,최대리,미달
BE000282,2025-04,제약,6200,복리후생비,587259000,738220000,150961000,0.2571,박과장,초과
BE000283,2025-04,제약,6300,광고선전비,778942000,721380000,-57562000,-0.0739,김대리,정상
BE000284,2025-04,제약,6400,운반비,718262000,640840000,-77422000,-0.1078,박과장,미달
BE000285,2025-04,제약,6500,감가상각비,704129000,737760000,33631000,0.0478,정사원,정상
BE000286,2025-04,제약,6600,지급수수료,597519000,673120000,75601000,0.1265,김대리,초과
BE000287,2025-04,제약,6700,연구개발비,712658000,730960000,18302000,0.0257,김대리,정상
BE000288,2025-04,제약,6800,기타판관비,619902000,675080000,55178000,0.089,박과장,정상
BE000289,2025-05,OLED,5000,매출원가,710109000,817320000,107211000,0.151,김대리,초과
BE000290,2025-05,OLED,6100,급여,697250000,751460000,54210000,0.0777,김대리,정상
BE000291,2025-05,OLED,6200,복리후생비,562500000,754980000,192480000,0.3422,정사원,초과
BE000292,2025-05,OLED,6300,광고선전비,675998000,742330000,66332000,0.0981,김대리,정상
BE000293,2025-05,OLED,6400,운반비,677368000,786380000,109012000,0.1609,김대리,초과
BE000294,2025-05,OLED,6500,감가상각비,721176000,534380000,-186796000,-0.259,이대리,미달
BE000295,2025-05,OLED,6600,지급수수료,580177000,681900000,101723000,0.1753,최대리,초과
BE000296,2025-05,OLED,6700,연구개발비,721284000,708110000,-13174000,-0.0183,김대리,정상
BE000297,2025-05,OLED,6800,기타판관비,590384000,794340000,203956000,0.3455,이대리,초과
BE000298,2025-05,제약,5000,매출원가,709118000,643500000,-65618000,-0.0925,이대리,정상
